// Bunker		Oasis		Temple 
// 4 5 6		13 14 15	19 20
// 7 8 9		16 17 18	21 22
// 10 11 12	

// Desert 0
// Desert Palnt 1
// Small James 2
// Tree 3

// 0 = Desert.tga
// 1 = DesertPlant.tga
// 2 = SmallJames.tga
// 3 = Tree.tga
// 4 = Bunker0.tga
// 5 = Bunker1.tga
// 6 = Bunker2.tga
// 7 = Bunker3.tga
// 8 = Bunker4.tga
// 9 = Bunker5.tga
// 10 = Bunker6.tga
// 11 = Bunker7.tga
// 12 = Bunker8.tga
// 13 = Oasis0.tga
// 14 = Oasis1.tga
// 15 = Oasis2.tga
// 16 = Oasis3.tga
// 17 = Oasis4.tga
// 18 = Oasis5.tga
// 19 = Temple0.tga
// 20 = Temple1.tga
// 21 = Temple2.tga
// 22 = Temple3.tga

// Background 20 x 50 
{
	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,14,15,
	0,4,5,6,4,5,6,0,0,0,19,20,0,0,0,1,1,16,17,18,
	0,7,8,9,7,8,9,0,0,0,21,22,0,0,0,1,1,1,1,1,
	0,10,11,12,10,11,12,0,0,0,0,0,0,0,0,1,1,1,1,1,
	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
	0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,
	0,0,0,0,0,2,13,14,15,2,0,0,0,0,1,0,0,0,0,0,
	1,1,0,0,0,2,16,17,18,2,0,0,0,0,2,0,0,0,0,0,
	1,0,0,0,0,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,
	1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,
	1,0,0,0,0,0,2,2,0,0,0,0,0,1,2,0,0,0,0,0,
	0,0,19,20,19,20,1,0,0,0,0,0,0,1,1,0,0,1,2,1,
	0,0,21,22,21,22,1,0,0,0,0,0,4,5,6,0,0,1,3,1,
	0,0,0,0,0,0,0,0,0,0,1,3,7,8,9,0,0,1,2,1,
	2,2,2,2,2,0,0,0,0,1,1,3,10,11,12,0,0,0,0,0,
	13,14,15,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,19,20,
	16,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,
	4,5,6,4,5,6,4,5,6,3,3,2,0,0,0,0,0,0,0,0,
	7,8,9,7,8,9,7,8,9,3,3,2,0,0,0,0,0,0,0,0,
	10,11,12,10,11,12,10,11,12,0,0,0,0,0,0,0,0,0,0,0,
	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,5,6,0,0,0,
	0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,8,9,0,0,0,
	0,0,3,3,3,0,1,0,2,0,0,0,0,0,10,11,12,0,0,0,
	0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,1,0,0,0,
	0,0,2,2,2,0,0,0,0,0,0,0,0,0,4,5,6,0,0,0,
	0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,8,9,0,0,0,
	0,0,0,0,0,0,0,19,20,3,0,0,0,0,10,11,12,0,0,0,
	0,0,0,0,0,0,0,21,22,3,0,0,0,0,0,0,0,0,0,0,
	0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,
	0,0,2,3,3,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,
	0,0,2,3,3,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,
	0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	0,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
	0,3,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
	0,3,13,14,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
	0,3,16,17,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
	0,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
	0,0,3,2,1,2,2,2,0,0,0,0,0,0,0,19,20,0,19,20,
	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0,21,22,
	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	0,0,1,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,
	0,0,2,2,2,3,0,3,3,0,0,0,0,0,1,1,1,1,0,0,
	0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,1,0,0,
	0,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,2,1,0,0,
	0,1,13,14,15,1,0,0,0,0,0,0,0,3,3,2,1,0,0,0,
	0,1,16,17,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
}
